;Time;Number_of_Casualties;Day_of_Week;Road_Type;Speed_limit;Light_Conditions;Weather_Conditions;Road_Surface_Conditions;Urban_or_Rural_Area;Vehicle_Type;Did_Police_Officer_Attend_Scene_of_Accident;Junction_Detail;Number_of_Vehicles;Accident_Severity;Unnamed: 14;Accident_Date
1443;Tarde;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;2;;16/05/2022 6:19
1444;Mañana;-1;Día laboral;3;50.0;1;1;1;1;bike;1;0;1;3;;8/09/2022 17:40
1445;Noche;-1;Fin de semana;6;30.0;4;1;1;1;bike;1;0;1;2;;25/07/2022 23:57
1446;Noche;-1;Fin de semana;6;30.0;4;1;1;1;bike;1;3;1;2;;12/05/2023 15:26
1447;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;8/09/2022 1:08
1448;Mañana;-1;Día laboral;1;30.0;1;1;1;1;bike;1;1;1;3;;13/05/2023 10:47
1449;Tarde;-1;Fin de semana;3;70.0;1;1;1;2;bike;1;3;1;3;;11/05/2022 19:42
1450;Tarde;-1;Día laboral;6;30.0;4;2;2;1;bike;1;0;1;2;;1/05/2023 21:17
1451;Noche;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;9/12/2022 10:22
1452;Mañana;-1;Fin de semana;6;30.0;1;1;1;1;bike;2;1;1;2;;3/07/2022 2:53
1453;Tarde;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;6;1;2;;6/10/2022 13:22
1454;Noche;-1;Día laboral;6;30.0;4;1;1;1;bike;1;0;1;3;;2/11/2022 18:52
1455;Noche;-1;Día laboral;6;30.0;4;1;1;2;bike;2;0;1;3;;23/08/2022 23:27
1456;Noche;-2;Fin de semana;6;30.0;1;2;2;1;bike;1;3;1;2;;7/05/2022 13:15
1457;Tarde;-1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;2;;4/01/2023 20:10
1458;Tarde;-1;Día laboral;6;30.0;1;1;1;2;bike;1;0;1;2;;7/01/2023 17:13
1459;Noche;-1;Día laboral;6;60.0;6;2;2;2;bike;1;0;1;2;;13/05/2022 19:58
1460;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;24/05/2023 4:34
1461;Tarde;-1;Día laboral;6;30.0;1;1;1;2;bike;1;0;1;3;;14/02/2023 5:43
1462;Tarde;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;3;;3/11/2022 20:40
1463;Mañana;-2;Día laboral;6;30.0;1;1;1;1;bike;1;8;1;2;;22/08/2022 9:55
1464;Mañana;-2;Fin de semana;6;30.0;1;1;1;1;bike;1;3;1;2;;4/01/2023 20:25
1465;Mañana;-1;Fin de semana;2;30.0;1;1;1;1;bike;1;9;1;3;;29/05/2023 13:12
1466;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;2;;12/05/2022 0:16
1467;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;20/07/2022 13:09
1468;Mañana;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;3;1;2;;7/10/2022 17:11
1469;Mañana;-1;Fin de semana;6;30.0;1;2;2;1;bike;2;0;1;3;;28/12/2022 1:09
1470;Noche;-1;Fin de semana;6;30.0;4;1;1;1;bike;1;0;1;3;;12/11/2022 16:35
1471;Noche;-1;Día laboral;6;30.0;1;2;2;1;bike;1;3;1;3;;1/04/2023 23:14
1472;Tarde;-1;Día laboral;1;30.0;1;1;1;1;bike;1;1;1;3;;21/07/2022 2:24
1473;Noche;-1;Día laboral;6;30.0;4;1;1;1;bike;2;0;1;3;;23/05/2023 20:59
1474;Mañana;-1;Fin de semana;3;70.0;1;1;1;2;bike;1;0;1;2;;27/01/2023 0:21
1475;Noche;-1;Fin de semana;6;30.0;4;1;1;1;bike;1;0;1;3;;31/01/2023 6:48
1476;Tarde;-2;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;;8/11/2022 1:51
1477;Noche;-1;Fin de semana;6;30.0;1;1;1;1;bike;2;3;1;2;;3/04/2023 15:42
1478;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;2;0;1;2;;10/05/2023 15:06
1479;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;2;;15/02/2023 22:42
1480;Mañana;-1;Día laboral;6;50.0;1;3;3;1;bike;1;0;1;3;;22/12/2022 14:32
1481;Noche;-1;Día laboral;6;30.0;4;1;1;1;bike;1;0;1;2;;22/11/2022 10:09
1482;Noche;-2;Fin de semana;6;30.0;4;1;1;1;bike;1;0;1;2;;21/04/2023 21:05
1483;Tarde;-1;Día laboral;6;30.0;1;2;2;1;bike;2;3;1;3;;3/08/2022 5:52
1484;Noche;-1;Fin de semana;6;60.0;6;1;1;2;bike;1;0;1;3;;10/10/2022 14:39
1485;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;2;3;1;3;;2/11/2022 10:08
1486;Noche;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;3/07/2022 23:09
1487;Noche;-1;Día laboral;6;60.0;1;1;1;2;bike;1;3;1;3;;25/06/2022 12:07
1488;Tarde;-1;Día laboral;6;40.0;1;2;2;2;bike;1;6;1;1;;13/01/2023 8:34
1489;Noche;-1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;2;;31/05/2022 7:08
1490;Mañana;-1;Día laboral;6;30.0;7;1;1;2;bike;2;0;1;3;;16/03/2023 5:21
1491;Noche;-1;Fin de semana;6;30.0;4;1;1;1;bike;1;3;1;3;;14/04/2023 2:29
1492;Noche;-1;Día laboral;6;40.0;4;3;3;2;bike;2;3;1;3;;1/10/2022 18:08
1493;Noche;-1;Día laboral;6;30.0;6;3;3;2;bike;2;0;1;3;;12/05/2023 14:59
1494;Noche;-1;Fin de semana;6;30.0;4;2;2;2;bike;1;3;1;3;;10/10/2022 14:56
1495;Mañana;-1;Día laboral;2;30.0;1;1;1;1;bike;2;3;1;3;;21/01/2023 22:34
1496;Noche;-1;Día laboral;6;30.0;1;1;1;1;bike;2;1;1;3;;19/02/2023 3:22
1497;Noche;-1;Día laboral;3;40.0;4;1;1;1;bike;2;0;1;3;;13/08/2022 15:50
1498;Noche;-1;Día laboral;6;40.0;1;1;1;2;bike;1;0;1;3;;19/09/2022 10:29
1499;Noche;-1;Día laboral;6;30.0;4;4;4;1;bike;1;3;1;2;;1/06/2022 8:51
1500;Mañana;-1;Fin de semana;6;60.0;1;1;1;2;bike;1;0;1;2;;19/11/2022 15:44
1501;Mañana;-1;Fin de semana;6;30.0;1;1;1;1;bike;2;3;1;3;;30/11/2022 8:58
1502;Mañana;-1;Día laboral;6;30.0;4;4;4;1;bike;2;6;1;2;;4/02/2023 19:42
1503;Noche;-1;Fin de semana;6;40.0;4;2;2;1;bike;1;6;1;3;;11/02/2023 6:00
1504;Tarde;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;3;;5/01/2023 2:13
1505;Tarde;-1;Día laboral;1;30.0;1;1;1;1;bike;1;1;1;2;;30/09/2022 14:02
1506;Tarde;-2;Día laboral;6;30.0;1;1;1;2;bike;1;3;1;3;;20/01/2023 5:07
1507;Tarde;-1;Día laboral;6;30.0;1;2;2;2;bike;1;0;1;3;;4/08/2022 17:11
1508;Tarde;-1;Fin de semana;6;30.0;1;1;1;2;bike;2;3;1;2;;8/03/2023 11:54
1509;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;5/05/2023 3:01
1510;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;2;0;1;3;;12/02/2023 10:13
1511;Tarde;-2;Día laboral;2;30.0;1;1;1;1;bike;1;0;1;3;;30/03/2023 5:09
1512;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;23/07/2022 16:30
1513;Mañana;-2;Día laboral;2;30.0;1;4;4;1;bike;1;3;1;3;;14/05/2023 1:59
1514;Mañana;-1;Día laboral;6;30.0;1;4;4;1;bike;2;0;1;3;;19/02/2023 17:59
1515;Noche;-1;Fin de semana;2;30.0;4;1;1;1;bike;1;3;1;3;;17/07/2022 6:23
1516;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;;16/02/2023 22:45
1517;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;7/06/2022 2:01
1518;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;2;0;1;3;;30/10/2022 0:28
1519;Tarde;-2;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;3;;14/03/2023 2:13
1520;Noche;-1;Fin de semana;6;30.0;1;1;1;1;bike;2;0;1;3;;13/09/2022 3:19
1521;Mañana;-1;Fin de semana;2;30.0;1;1;1;1;bike;1;0;1;3;;3/02/2023 3:53
1522;Mañana;-1;Día laboral;6;50.0;1;1;1;2;bike;1;0;1;2;;3/10/2022 9:20
1523;Noche;-1;Día laboral;2;20.0;1;1;1;1;bike;2;0;1;3;;18/11/2022 15:41
1524;Tarde;-1;Fin de semana;6;30.0;1;1;1;1;bike;2;0;1;3;;8/11/2022 7:11
1525;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;2;;14/01/2023 5:30
1526;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;;14/05/2022 12:42
1527;Mañana;-1;Día laboral;6;30.0;1;2;2;1;bike;1;0;1;3;;25/09/2022 5:52
1528;Tarde;-1;Día laboral;6;30.0;1;4;4;2;bike;1;0;1;2;;21/01/2023 3:41
1529;Tarde;-1;Día laboral;6;60.0;1;1;1;2;bike;1;3;1;2;;12/04/2023 0:00
1530;Tarde;-1;Día laboral;6;20.0;1;1;1;1;bike;1;0;1;2;;14/12/2022 14:23
1531;Tarde;-1;Día laboral;6;30.0;1;2;2;1;bike;1;0;1;3;;10/07/2022 5:06
1532;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;5/05/2022 12:53
1533;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;13/02/2023 10:28
1534;Mañana;-1;Fin de semana;6;30.0;1;1;1;2;bike;1;0;1;2;;3/01/2023 2:07
1535;Noche;-1;Día laboral;6;30.0;4;1;1;1;bike;1;0;1;3;;17/04/2023 16:01
1536;Noche;-1;Día laboral;6;60.0;6;1;1;1;bike;1;0;1;3;;2/05/2022 1:46
1537;Tarde;-1;Fin de semana;6;30.0;1;1;1;1;bike;2;0;1;3;;21/07/2022 18:41
1538;Mañana;-1;Fin de semana;6;30.0;1;1;1;2;bike;2;0;1;3;;27/09/2022 21:12
1539;Noche;-1;Día laboral;3;30.0;1;1;1;2;bike;2;0;1;3;;31/10/2022 10:08
1540;Noche;-1;Día laboral;9;30.0;4;1;1;1;bike;2;0;1;3;;14/07/2022 0:04
1541;Tarde;-1;Día laboral;6;60.0;1;2;2;2;bike;1;0;1;1;;12/04/2023 7:45
1542;Mañana;-1;Día laboral;6;30.0;1;1;1;2;bike;2;3;1;3;;11/03/2023 17:41
1543;Noche;-1;Fin de semana;6;30.0;4;2;2;1;bike;1;0;1;2;;28/04/2023 10:25
1544;Noche;-1;Día laboral;6;60.0;5;1;1;2;bike;1;0;1;3;;12/01/2023 14:58
1545;Noche;-1;Día laboral;6;30.0;4;1;1;1;bike;1;0;1;2;;21/07/2022 16:46
1546;Noche;-1;Día laboral;6;40.0;6;1;1;1;bike;1;0;1;3;;31/01/2023 20:53
1547;Tarde;-1;Día laboral;6;60.0;1;1;1;2;bike;2;0;1;2;;18/07/2022 19:45
1548;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;2;;6/02/2023 23:10
1549;Tarde;-2;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;22/05/2023 7:49
1550;Tarde;-1;Día laboral;6;40.0;1;1;1;2;bike;1;0;1;3;;9/11/2022 0:09
1551;Noche;-1;Día laboral;6;20.0;1;1;1;1;bike;1;0;1;2;;28/02/2023 5:02
1552;Tarde;-1;Día laboral;1;30.0;1;1;1;1;bike;2;1;1;3;;5/07/2022 15:35
1553;Tarde;-1;Día laboral;1;40.0;1;1;1;2;bike;1;1;1;3;;12/02/2023 21:55
1554;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;2;6;1;2;;21/05/2022 18:17
1555;Mañana;-1;Día laboral;6;30.0;1;2;2;1;bike;1;3;1;3;;19/05/2022 10:52
1556;Mañana;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;3;1;3;;29/05/2023 8:38
1557;Mañana;-1;Fin de semana;2;30.0;1;1;1;1;bike;1;3;1;3;;27/12/2022 22:23
1558;Noche;-1;Día laboral;1;40.0;1;1;1;2;bike;1;1;1;3;;31/03/2023 2:41
1559;Noche;-1;Día laboral;6;40.0;1;1;1;2;bike;2;0;1;1;;18/05/2022 4:26
1560;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;2;0;1;2;;15/03/2023 21:43
1561;Tarde;-1;Fin de semana;7;30.0;1;1;1;1;bike;1;3;1;3;;10/08/2022 2:20
1562;Noche;-2;Día laboral;6;30.0;1;1;1;2;bike;1;3;1;2;;2/06/2022 12:20
1563;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;2;0;1;3;;19/10/2022 11:26
1564;Noche;-1;Día laboral;6;30.0;1;1;1;1;bike;2;0;1;3;;21/05/2022 20:37
1565;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;30/09/2022 17:25
1566;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;;26/04/2023 14:58
1567;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;1/09/2022 13:03
1568;Tarde;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;2;;8/07/2022 17:28
1569;Noche;-1;Día laboral;6;30.0;4;2;2;1;bike;1;3;1;2;;24/10/2022 22:55
1570;Tarde;-2;Día laboral;6;30.0;4;1;1;1;bike;1;0;1;3;;24/01/2023 14:32
1571;Mañana;-1;Fin de semana;6;40.0;1;1;1;1;bike;1;0;1;3;;5/06/2022 9:15
1572;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;25/02/2023 16:22
1573;Mañana;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;3;1;3;;19/01/2023 5:26
1574;Noche;-1;Fin de semana;2;30.0;4;1;1;1;bike;1;7;1;3;;9/08/2022 22:06
1575;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;9;1;3;;18/01/2023 7:49
1576;Tarde;-1;Fin de semana;6;30.0;1;2;2;1;bike;1;3;1;3;;24/05/2022 4:17
1577;Mañana;-1;Día laboral;6;30.0;1;4;4;2;bike;1;1;1;3;;25/05/2022 2:30
1578;Mañana;-1;Fin de semana;6;60.0;1;2;2;2;bike;1;0;1;2;;25/02/2023 7:15
1579;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;8/06/2022 20:03
1580;Tarde;-1;Día laboral;6;40.0;1;1;1;1;bike;1;3;1;2;;25/12/2022 3:58
1581;Noche;-1;Día laboral;6;50.0;6;2;2;2;bike;1;0;1;2;;22/02/2023 2:16
1582;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;;24/05/2022 0:46
1583;Mañana;-1;Fin de semana;6;30.0;1;4;4;1;bike;1;3;1;3;;14/10/2022 13:59
1584;Tarde;-1;Fin de semana;6;40.0;1;1;1;2;bike;1;9;1;2;;22/08/2022 0:18
1585;Mañana;-1;Día laboral;2;30.0;1;1;1;1;bike;1;0;1;2;;23/05/2022 13:14
1586;Mañana;-1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;3;;6/12/2022 3:04
1587;Mañana;-2;Día laboral;9;30.0;1;2;2;1;bike;1;0;1;3;;29/07/2022 8:42
1588;Noche;-1;Día laboral;6;20.0;4;1;1;1;bike;1;9;1;3;;5/09/2022 16:04
1589;Mañana;-1;Fin de semana;6;30.0;1;1;1;2;bike;1;3;1;3;;9/05/2022 4:49
1590;Noche;-1;Día laboral;6;30.0;7;1;1;1;bike;1;0;1;3;;19/03/2023 3:55
1591;Mañana;-1;Día laboral;3;30.0;1;2;2;1;bike;1;6;1;3;;6/07/2022 6:19
1592;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;12/04/2023 19:10
1593;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;9/02/2023 0:00
1594;Tarde;-1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;2;;24/08/2022 21:43
1595;Noche;-1;Día laboral;6;30.0;4;1;1;1;bike;1;3;1;3;;24/06/2022 9:23
1596;Tarde;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;9;1;2;;4/02/2023 16:49
1597;Tarde;-1;Fin de semana;6;30.0;1;1;1;2;bike;1;0;1;2;;14/11/2022 3:32
1598;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;2;;4/07/2022 21:21
1599;Noche;-1;Fin de semana;6;50.0;4;1;1;2;bike;1;0;1;3;;12/01/2023 1:56
1600;Mañana;-1;Fin de semana;6;60.0;1;4;4;2;bike;1;0;1;3;;30/06/2022 4:43
1601;Noche;-1;Día laboral;1;30.0;4;2;2;1;bike;1;1;1;3;;9/05/2022 23:26
1602;Tarde;-1;Día laboral;6;40.0;1;1;1;2;bike;1;0;1;2;;26/02/2023 10:10
1603;Mañana;-1;Día laboral;3;30.0;1;1;1;1;bike;1;0;1;3;;13/06/2022 12:53
1604;Mañana;-1;Día laboral;2;30.0;1;1;1;2;bike;1;0;1;2;;17/09/2022 17:24
1605;Tarde;-1;Día laboral;6;40.0;1;1;1;2;bike;1;0;1;2;;15/04/2023 21:10
1606;Tarde;-1;Día laboral;6;30.0;1;1;1;2;bike;1;0;1;3;;9/05/2023 1:09
1607;Noche;-1;Día laboral;6;30.0;4;2;2;2;bike;1;0;1;3;;7/12/2022 22:59
1608;Tarde;-1;Fin de semana;6;50.0;1;2;2;2;bike;1;0;1;3;;1/05/2023 0:11
1609;Mañana;-1;Fin de semana;6;60.0;1;2;2;2;bike;1;0;1;3;;29/10/2022 0:24
1610;Mañana;-1;Día laboral;6;30.0;1;4;4;2;bike;1;0;1;3;;10/05/2023 19:15
1611;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;2;3;1;2;;30/07/2022 21:36
1612;Mañana;-1;Día laboral;6;30.0;4;4;4;1;bike;2;1;1;3;;6/05/2022 20:34
1613;Mañana;-1;Día laboral;6;30.0;1;4;4;1;bike;1;3;1;3;;11/05/2022 12:43
1614;Tarde;-1;Día laboral;6;40.0;1;2;2;2;bike;1;0;1;3;;19/05/2023 8:44
1615;Noche;-1;Fin de semana;6;30.0;4;2;2;2;bike;2;0;1;3;;30/04/2023 2:58
1616;Mañana;-2;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;13/10/2022 13:05
1617;Mañana;-2;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;2;;27/05/2022 14:16
1618;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;;29/12/2022 9:23
1619;Noche;-1;Día laboral;6;30.0;4;1;1;1;bike;2;0;1;3;;23/11/2022 8:43
1620;Noche;-2;Día laboral;6;30.0;4;1;1;2;bike;1;3;1;2;;24/06/2022 15:19
1621;Tarde;-1;Día laboral;6;30.0;5;2;2;1;bike;1;9;1;3;;23/05/2022 1:59
1622;Mañana;-1;Día laboral;9;30.0;1;1;1;1;bike;2;0;1;3;;1/09/2022 1:53
1623;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;7;1;2;;12/01/2023 1:45
1624;Noche;-2;Día laboral;6;30.0;4;1;1;1;bike;1;0;1;2;;4/05/2023 9:11
1625;Mañana;-1;Día laboral;3;30.0;1;1;1;1;bike;2;9;1;2;;24/03/2023 2:27
1626;Noche;-2;Día laboral;6;30.0;1;1;1;1;bike;2;6;1;2;;3/11/2022 7:48
1627;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;26/05/2023 20:53
1628;Noche;-1;Día laboral;6;30.0;4;1;1;1;bike;1;0;1;3;;16/12/2022 10:00
1629;Tarde;-1;Fin de semana;6;60.0;1;2;2;2;bike;1;0;1;2;;16/11/2022 10:55
1630;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;;9/08/2022 15:51
1631;Tarde;-2;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;3;;9/05/2022 1:01
1632;Mañana;-1;Día laboral;6;40.0;1;1;1;1;bike;2;0;1;2;;7/07/2022 4:52
1633;Noche;-1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;2;;11/03/2023 7:43
1634;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;2;3;1;3;;20/09/2022 15:26
1635;Tarde;-2;Fin de semana;6;30.0;1;1;1;1;bike;1;0;2;1;;9/07/2022 21:32
1636;Tarde;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;2;;23/03/2023 0:41
1637;Tarde;-1;Día laboral;6;40.0;1;1;1;2;bike;1;0;1;3;;17/02/2023 9:34
1638;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;2;0;1;3;;6/05/2022 3:17
1639;Noche;-1;Fin de semana;6;60.0;1;1;1;2;bike;1;0;1;2;;31/07/2022 1:13
1640;Noche;-1;Día laboral;6;30.0;4;2;2;1;bike;1;1;1;2;;7/09/2022 17:15
1641;Tarde;-1;Día laboral;3;40.0;1;1;1;1;bike;1;0;1;1;;25/10/2022 15:43
1642;Mañana;-1;Día laboral;2;30.0;1;1;1;1;bike;1;0;1;3;;28/04/2023 16:37
1643;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;29/11/2022 16:04
1644;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;6/09/2022 22:43
1645;Tarde;-1;Día laboral;6;40.0;1;1;1;2;bike;1;0;1;2;;24/06/2022 0:54
1646;Noche;-1;Día laboral;6;60.0;1;1;1;2;bike;2;0;1;2;;5/06/2022 2:13
1647;Mañana;-1;Día laboral;6;60.0;1;1;1;2;bike;1;3;1;3;;7/12/2022 14:59
1648;Tarde;-1;Día laboral;9;20.0;1;1;1;1;bike;2;0;1;2;;23/12/2022 0:39
1649;Mañana;-1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;3;;30/08/2022 23:25
1650;Noche;-1;Fin de semana;6;60.0;1;1;1;2;bike;1;0;1;1;;24/11/2022 16:47
1651;Noche;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;25/07/2022 7:36
1652;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;;23/06/2022 2:44
1653;Noche;-1;Día laboral;6;30.0;4;1;1;1;bike;1;3;1;3;;13/10/2022 8:44
1654;Noche;-1;Día laboral;3;30.0;1;1;1;1;bike;1;1;1;3;;25/12/2022 11:30
1655;Tarde;-1;Día laboral;6;60.0;1;4;4;2;bike;1;0;1;2;;27/07/2022 19:16
1656;Tarde;-1;Día laboral;6;60.0;1;2;2;2;bike;1;0;1;2;;18/12/2022 2:04
1657;Mañana;-1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;3;;3/09/2022 16:29
1658;Tarde;-1;Día laboral;6;30.0;4;2;2;1;bike;2;7;1;3;;9/01/2023 4:53
1659;Noche;-1;Día laboral;6;30.0;4;1;1;1;bike;1;3;1;3;;22/03/2023 7:13
1660;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;2;1;3;;3/12/2022 18:11
1661;Tarde;-1;Fin de semana;6;30.0;1;1;1;2;bike;1;0;1;2;;17/08/2022 14:54
1662;Noche;-1;Día laboral;2;30.0;1;1;1;1;bike;1;9;1;2;;3/11/2022 3:45
1663;Mañana;-1;Día laboral;6;30.0;1;2;2;1;bike;1;0;1;3;;23/01/2023 6:05
1664;Mañana;-2;Día laboral;6;30.0;1;2;2;1;bike;1;0;1;3;;16/01/2023 2:11
1665;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;2/04/2023 22:40
1666;Tarde;-1;Fin de semana;6;30.0;1;2;2;1;bike;2;3;1;3;;13/06/2022 8:21
1667;Tarde;-1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;2;;19/12/2022 15:21
1668;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;2;0;1;3;;11/03/2023 2:24
1669;Mañana;-1;Día laboral;3;40.0;1;2;2;1;bike;1;0;1;2;;29/10/2022 4:10
1670;Tarde;-1;Fin de semana;6;60.0;1;1;1;2;bike;1;0;1;2;;20/05/2023 5:19
1671;Tarde;-1;Fin de semana;6;30.0;1;1;1;2;bike;1;0;1;2;;10/04/2023 5:58
1672;Noche;-1;Día laboral;6;30.0;1;1;1;2;bike;1;3;1;3;;8/04/2023 0:33
1673;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;30/08/2022 14:24
1674;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;3/11/2022 9:13
1675;Tarde;-2;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;19/02/2023 13:18
1676;Mañana;-2;Fin de semana;6;30.0;1;1;1;1;bike;1;6;1;3;;4/01/2023 21:26
1677;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;28/11/2022 4:02
1678;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;2;;17/04/2023 16:29
1679;Noche;-1;Día laboral;6;30.0;4;1;1;1;bike;1;3;1;3;;26/09/2022 21:20
1680;Noche;-2;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;2;;9/04/2023 4:33
1681;Noche;-1;Día laboral;6;30.0;4;1;1;1;bike;1;3;1;3;;15/03/2023 6:00
1682;Mañana;-1;Día laboral;6;30.0;1;2;2;1;bike;1;3;1;3;;23/04/2023 2:49
1683;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;3/08/2022 5:25
1684;Noche;-1;Día laboral;6;30.0;4;1;1;1;bike;1;6;1;3;;20/07/2022 14:45
1685;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;2;0;1;3;;24/07/2022 2:14
1686;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;8/09/2022 11:00
1687;Tarde;-1;Día laboral;2;30.0;1;1;1;1;bike;1;3;1;3;;9/09/2022 14:01
1688;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;6;1;3;;26/05/2022 15:39
1689;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;3/05/2023 19:48
1690;Noche;-1;Fin de semana;6;30.0;4;1;1;1;bike;1;0;1;3;;22/05/2023 14:06
1691;Noche;-2;Día laboral;2;30.0;1;1;1;1;bike;1;6;1;3;;19/07/2022 12:29
1692;Noche;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;;28/08/2022 16:05
1693;Noche;-2;Fin de semana;6;30.0;4;1;1;1;bike;1;3;1;2;;2/02/2023 22:17
1694;Mañana;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;3;1;2;;14/08/2022 13:04
1695;Tarde;-1;Fin de semana;2;30.0;1;1;1;1;bike;2;3;1;2;;4/05/2023 4:34
1696;Noche;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;28/04/2023 8:11
1697;Tarde;-1;Fin de semana;6;30.0;4;1;1;1;bike;1;3;1;3;;21/05/2022 13:49
1698;Tarde;-1;Día laboral;2;30.0;1;1;1;1;bike;1;3;1;3;;13/11/2022 1:08
